trajectory_index,source_cell_index,source_time,source_cell_type,predicted_label,max_prob,time_used,primary_domain,secondary_domain,prob__EryP,prob__HSC,prob__MasP,prob__MkP,prob__MoP,prob__NeuP,target_group,target_genes,z_score,time_requested,cell_type_requested,cell_type_used,label_rule,selection_source
487,487,0.0,MkP,MkP,0.9999870982336756,3.0,1,2,6.302079438201883e-06,6.5948586715371085e-06,3.6617868194008816e-12,0.9999870982336756,4.2871535098382975e-09,5.37399378312056e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
5665,5665,0.0,EryP,MkP,0.9999870921091112,3.0,1,2,1.3441324207515489e-06,1.156257461487746e-05,3.221701570402978e-11,0.9999870921091112,7.967745027939534e-10,3.548615296065457e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
5731,5731,0.0,EryP,MkP,0.9999870690328944,3.0,1,2,4.280016329951406e-06,8.644990173675438e-06,5.3222837444823516e-11,0.9999870690328944,1.3074250662594786e-09,4.5999540808717594e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
7107,7107,0.0,EryP,MkP,0.999986945445269,3.0,1,2,7.361547515415782e-06,5.691152553215457e-06,2.3829530760452948e-12,0.999986945445269,1.0191941593368704e-09,8.330854902433477e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
512,512,0.0,EryP,MkP,0.999986618759646,3.0,1,2,3.677720175176737e-06,9.637908046114203e-06,9.853486136553348e-12,0.999986618759646,5.7408101913791124e-08,8.194177299320497e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
7538,7538,0.0,EryP,MkP,0.9999865989323622,3.0,1,2,1.104497982171403e-05,2.3530320263543216e-06,2.4363495050541736e-11,0.9999865989323622,1.1359238918726431e-09,1.895502364931835e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
3076,3076,0.0,EryP,MkP,0.9999863223034088,3.0,1,2,1.0810087683880732e-05,2.8583186440640875e-06,3.794974851306373e-11,0.9999863223034088,8.788469706287181e-09,4.6384375880814655e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
7425,7425,0.0,EryP,MkP,0.9999860400117424,3.0,1,2,7.810560723286599e-07,1.31444437246192e-05,6.173063594780026e-12,0.9999860400117424,3.3735664609079215e-08,7.46623067383514e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
694,694,0.0,MkP,MkP,0.9999858928618176,3.0,1,2,1.6154484495928374e-06,1.2487173753721508e-05,1.810981224722849e-12,0.9999858928618176,3.042047893985533e-09,1.472120310273681e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
3602,3602,0.0,EryP,MkP,0.999985507654843,3.0,1,2,1.2354029763407709e-05,1.0836372786687651e-06,1.4808180599572485e-11,0.999985507654843,1.0541897061097396e-06,4.73600626933057e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
3525,3525,0.0,EryP,MkP,0.9999852054481346,3.0,1,2,1.1009569757773056e-05,3.7652644511113616e-06,2.364985012892299e-10,0.9999852054481346,1.7949561515699957e-08,1.531596498798955e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
2147,2147,0.0,EryP,MkP,0.999985134479814,3.0,1,2,4.962721262261433e-06,9.893705144090328e-06,3.7800572715817445e-10,0.999985134479814,7.026995034154533e-09,1.688778618845227e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
755,755,0.0,EryP,MkP,0.99998503224443,3.0,1,2,1.0872940357693232e-05,4.079100012293785e-06,2.73499725298546e-12,0.99998503224443,1.5520881631547407e-08,1.9158329263479467e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
2100,2100,0.0,EryP,MkP,0.999984934095733,3.0,1,2,1.0254344341171135e-05,4.780987440519463e-06,6.755692653361311e-11,0.999984934095733,2.900424026249248e-08,1.5006881010065627e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
6760,6760,0.0,EryP,MkP,0.9999849015579227,3.0,1,2,1.0624243113608469e-05,4.473474467535697e-06,3.5442491636542875e-11,0.9999849015579227,6.80346272932213e-11,6.210190297599419e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
1222,1222,0.0,EryP,MkP,0.9999847893700704,3.0,1,2,1.4394478816793067e-06,1.3587135022742343e-05,7.944327471242068e-11,0.9999847893700704,1.6838661681160357e-07,1.558096481128674e-08,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
193,193,0.0,EryP,MkP,0.9999843978781424,3.0,1,2,4.684934588048351e-06,1.088464983169766e-05,2.0006147058067468e-11,0.9999843978781424,3.090464022303642e-08,1.6127914385720995e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
80,80,0.0,MkP,MkP,0.9999843309774862,3.0,1,2,1.5242477909264945e-05,4.26490997860349e-07,5.0933311692295886e-11,0.9999843309774862,3.9850520913330543e-14,2.633626395431074e-12,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
2371,2371,0.0,EryP,MkP,0.9999827637062764,3.0,1,2,1.705955182678136e-06,1.5249211940466277e-05,2.63448941891134e-12,0.9999827637062764,2.7703507652525374e-07,4.088889622084206e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
5109,5109,0.0,EryP,MkP,0.999982571619308,3.0,1,2,1.2887173196387047e-05,4.52633498896814e-06,6.071587022919124e-11,0.999982571619308,1.4159401485762922e-08,6.52389204342664e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
2787,2787,0.0,MkP,MkP,0.999981751321572,3.0,1,2,7.038950334699102e-06,1.1158022783415566e-05,3.6536963153829637e-11,0.999981751321572,4.9563247356818096e-08,2.1055255709365543e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
1759,1759,0.0,EryP,MkP,0.9999815169222112,3.0,1,2,6.625474410251299e-06,1.1536641408482406e-05,4.219271639192095e-11,0.9999815169222112,3.172567142478269e-07,3.6630629940681965e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
6608,6608,0.0,EryP,MkP,0.999981213173776,3.0,1,2,7.90499917449258e-06,1.0323319853373657e-05,2.2873451867697832e-10,0.999981213173776,5.551754121970519e-07,3.103049467896117e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
3681,3681,0.0,EryP,MkP,0.999980982024338,3.0,1,2,8.706306650686229e-06,1.0281691177986409e-05,2.4606831634945443e-12,0.999980982024338,2.9272478033869677e-08,7.02894807505327e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
31,31,0.0,MkP,MkP,0.9999806177219832,3.0,1,2,5.903053261800962e-07,1.8775990749514942e-05,1.0787516705879808e-11,0.9999806177219832,1.5608777539417834e-08,3.623760265762775e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
